Num. Ens/ Num. Inventari,Província,Municipi,Via,Num. via,Departament-Assig./Adscrip.,Espai,Tipus d'ús,area_value,Ref. Cadastral
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0, 1795306CG0019F0020OQ
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0, 1795306CG0019F0017OQ
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0, 1795306CG0019F0001LA
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0, 1795306CG0019F0011EK
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0, 1795306CG0019F0016IM
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0, 1795306CG0019F0015UX
46,Lleida,Lleida (),Lluís Companys,1,--Agència Tributària de Catalunya (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ;,Delegació Territorial de la Generalitat a Lleida - Edifici Euroforum,Oficina,3580.65;3580.65;1552.78;5133.43;0, 1795306CG0019F0002BS
48,Barcelona,Barcelona (08003),Laietana,58-60,--Servei Català de Trànsit (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ; --Entitat Autònoma de Jocs i Apostes (Adscripció) ; --Autoritat Catalana de la Competència (Adscripció) ;,Oficines del Departament de la Vicepresidència i d'Economia i Hisenda i de l'IDESCAT,Oficina,8424.32;8424.32;1718.02;10142.34;0,1023312DF3812C0001II
48,Barcelona,Barcelona (08003),Laietana,58-60,--Servei Català de Trànsit (Adscripció) ; --Departament de la Vicepresidència i d'Economia i Hisenda (Assignació) ; --Entitat Autònoma de Jocs i Apostes (Adscripció) ; --Autoritat Catalana de la Competència (Adscripció) ;,Oficines del Departament de la Vicepresidència i d'Economia i Hisenda i de l'IDESCAT,Oficina,8424.32;8424.32;1718.02;10142.34;0, 1023311DF3812C0001XI
50,Lleida,Àger (),L-904,"pk 46,1",--Departament de Territori i Sostenibilitat (Assignació) ;,"Caseta Peó caminaire La Passarel·la - Carretera L-904 pk 46,1",Sobrant de carretera,178.56;178.56;0;178.56;353.43,
51,Lleida,Agramunt (25310),Petronel·la d'Agramunt,1,--Departament d'Ensenyament (Assignació) ;,Institut Ribera del Sió,Institut,5934;5934;0;5934;12000,2175007CG4227N0001UL
53,Lleida,Agramunt (),C-240,km 12,--Departament de Territori i Sostenibilitat (Assignació) ;,Antiga caseta peó caminer - Ctra. C-240 km 12,Sobrant de carretera,0;0;0;0;225.14,1582101CG4218S0001QJ
54,Tarragona,Aiguamúrcia (43815),Jaume el Just,s/n,--Agència Catalana del Patrimoni Cultural (Adscripció) ;,Monestir de Santes Creus i entorn,Conjunt monumental,30654.3;30654.3;0;30654.3;1278424.81,3187724CF6738E0001IH
54,Tarragona,Aiguamúrcia (43815),Jaume el Just,s/n,--Agència Catalana del Patrimoni Cultural (Adscripció) ;,Monestir de Santes Creus i entorn,Conjunt monumental,30654.3;30654.3;0;30654.3;1278424.81, 43001A028000630000EX
54,Tarragona,Aiguamúrcia (43815),Jaume el Just,s/n,--Agència Catalana del Patrimoni Cultural (Adscripció) ;,Monestir de Santes Creus i entorn,Conjunt monumental,30654.3;30654.3;0;30654.3;1278424.81, 43001A028000940000ED
54,Tarragona,Aiguamúrcia (43815),Jaume el Just,s/n,--Agència Catalana del Patrimoni Cultural (Adscripció) ;,Monestir de Santes Creus i entorn,Conjunt monumental,30654.3;30654.3;0;30654.3;1278424.81, 3187735CF6738E0001AH
55,Tarragona,Alcanar (43530),Joan Maragall,8,--Departament d'Ensenyament (Assignació) ;,Institut Sòl de Riu,Institut,4200.18;4200.18;74.82;4275;0,6208171BE8950F0001TK
55,Tarragona,Alcanar (43530),Joan Maragall,8,--Departament d'Ensenyament (Assignació) ;,Institut Sòl de Riu,Institut,4200.18;4200.18;74.82;4275;0, 6208106BE8950F0001MK
58,Tarragona,Alforja (),C-242,64 K,--Departament de Territori i Sostenibilitat (Assignació) ;,Magatzem del Departament de Territori i Sostenibilitat (Finca Servians) - Carretera C-242 pk 64 (antiga caseta de peó caminaire).,Emmagatzematge,181.56;181.56;0;181.56;309.62,
60,Lleida,Almenar (25126),Espadós,75,--Departament d'Ensenyament (Assignació) ;,Institut d'Almenar,Institut,4565;4565;0;4565;3567,8506001BG9380N0001SX
62,Girona,Alp (),Segremorta,,--Consell Català de l'Esport (Adscripció) ;,Estació d'Esquí de La Molina,Esportiu,0;0;0;0;27048.5,17006A008000150000ZZ
63,Lleida,Gimenells i el Pla de la Font (),Vaqueria,43,--Institut de Recerca i Tecnologia Agroalimentàries (IRTA) (Adscripció) ;,Centre tècnic i residència (IRTA),Recerca científica i laboratoris,2912.78;2912.78;0;2912.78;437670,205090400BG81E0001ZH
64,Lleida,Alt Àneu (),C-142,"16,2 K",--Departament de Territori i Sostenibilitat (Assignació) ;,"Antiga Caseta Peó Caminaire Mare de Déu d'Ares - CT C-142 16,2 K",Habitatge,1091.25;1091.25;0;1091.25;0,
65,Tarragona,Altafulla (),Placeta,12,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Alberg Casa Gran,Hotel,1505.34;1505.34;0;1505.34;645.78,3860103CF6535H0001PT
66,Lleida,Altron (),Prats d'Arenos,,"--Departament de Treball, Afers Socials i Famílies (Assignació) ;",Campament Vall d'Assua,Casa colònies,0;0;0;0;13179,
67,Girona,Amer (),Folch i Torras,3,--Departament d'Ensenyament (Assignació) ;,LLar d'infants El Carrilet,Llar d'infants,813.33;813.33;0;813.33;2000,6713301DG6561S0001WH
68,Girona,Amer (17170),Estacio,4,--Departament d'Ensenyament (Assignació) ;,Institut Castell d'Estela,Institut,4940;4940;0;4940;5604,6911201DG6561S0001KH
69,Girona,Amer (),C-152,"19,7 K",--Departament de Territori i Sostenibilitat (Assignació) ;,"- CT C-152 19,7 K",Sobrant de carretera,0;0;0;0;0,
70,Girona,Amer (),C-152,"20,7 K",--Departament de Territori i Sostenibilitat (Assignació) ;,"- CT C-152 20,7 K",Sobrant de carretera,0;0;0;0;0,
71,Girona,Amer (),C-152,21 K,--Departament de Territori i Sostenibilitat (Assignació) ;,- CT C-152 21 K,Sobrant de carretera,0;0;0;0;0,
72,Girona,Amer (),C-152,18 K,--Departament de Territori i Sostenibilitat (Assignació) ;,Caseta peó caminaire,Habitatge,174;174;0;174;234,7792121DG6479S0001JD
73,Tarragona,L'Ametlla de Mar (),Mediterrani,2,"--Departament d'Agricultura, Ramaderia, Pesca i Alimentació (Assignació) ;",Escola de Capacitació Nàutico-pesquera,Altres centres docents,3197.25;3197.25;0;3197.25;3454.9,4579308CF1248B0001LM
76,Tarragona,Amposta (43870),Mestre J. Sunyer,1-37,--Departament d'Ensenyament (Assignació) ;,Institut Ramon Berenguer IV / EOI d'Amposta,Escola Oficial d'Idiomes,4776;4776;0;4776;18800,5895603BF9059D0001WB.
78,Tarragona,Amposta (),Gran Capita,34,--Departament de Cultura (Assignació) ;,Museu Comarcal del Montsià,Museu,748;748;0;748;1117,5394301BF9059C0001UA
79,Lleida,Alfarràs (),Clot de les Basses,,"--Departament d'Agricultura, Ramaderia, Pesca i Alimentació (Assignació) ;",Escola de Capacitació Agrària,Escola Capacitació Agrària,5522;5522;0;5522;143300.68,25013A001001270001ZW
79,Lleida,Alfarràs (),Clot de les Basses,,"--Departament d'Agricultura, Ramaderia, Pesca i Alimentació (Assignació) ;",Escola de Capacitació Agrària,Escola Capacitació Agrària,5522;5522;0;5522;143300.68, 25013A001001270000BQ
80,Barcelona,Calella (08370),Sant Jaume,338,--Departament de Justícia (Assignació) ;,Jutjat de Pau,Judicial,404;404;0;404,2075101DG7027N0211QW
81,Tarragona,Amposta (),Toses,,--Departament de Territori i Sostenibilitat (Assignació) ;,Aparcament vehicles pesants,Aparcament vehícles pesats,1532;1532;0;1532;27316,3788102BF9038H0001RI
82,Tarragona,Amposta (),Campet,,"--Departament d'Agricultura, Ramaderia, Pesca i Alimentació (Assignació) ;",Partida Molinet (Annex ECA)- Camp d'Aprenentatge -,Serveis educatius,325;325;0;325;10287,43014A036000010001ZQ
82,Tarragona,Amposta (),Campet,,"--Departament d'Agricultura, Ramaderia, Pesca i Alimentació (Assignació) ;",Partida Molinet (Annex ECA)- Camp d'Aprenentatge -,Serveis educatius,325;325;0;325;10287, 43014A036000010000BM
83,Girona,Anglès (),N-140,101 K,--Departament de Territori i Sostenibilitat (Assignació) ;,- CT N-140 101 K,Habitatge,145;145;0;145;0,
84,Girona,Anglès (),Nacional 141,62,--Departament de Territori i Sostenibilitat (Assignació) ;,Sobrant carretera Nacional 141 pk 101 (Variant N-141),Sobrant de carretera,0;0;0;0;373,0254702DG7405S0001LZ
85,Girona,Anglès (17160),Remei,s/n,--Departament d'Ensenyament (Assignació) ;,Institut Rafael de Campalans,Institut,3991.31;3991.31;48.14;4039.45;5474.72,9451215DG6495S0001FX
86,Lleida,Anya (),C-1412,"23,7 K",--Departament de Territori i Sostenibilitat (Assignació) ;,"Cabanazos - CT C-1412 23,7 K",Habitatge,178;178;0;178;0,
88,Girona,Arbúcies (17401),Doctor Carulla,s/n,--Departament d'Ensenyament (Assignació) ;,Institut Montsoriu,Institut,3338;3338;0;3338;0,0096703DG6209N0001PD
88,Girona,Arbúcies (17401),Doctor Carulla,s/n,--Departament d'Ensenyament (Assignació) ;,Institut Montsoriu,Institut,3338;3338;0;3338;0, 0096704DG6209N0001LD
89,Girona,Arbúcies (),Ge-543,"0,4 K",--Departament de Territori i Sostenibilitat (Assignació) ;,"- CT Ge-543 0,4 K",Sobrant de carretera,0;0;0;0;0,
90,Girona,Arbúcies (),Ge-543,,--Departament de Territori i Sostenibilitat (Assignació) ;,"- CT Ge-543 1,365 K 1,425 K",Sobrant de carretera,0;0;0;0;0,
91,Girona,Arbúcies (),Ge-543,"pk 12,8",--Departament de Territori i Sostenibilitat (Assignació) ;,"Sobrant de carretera GE-543 pk 12,8",Sobrant de carretera,0;0;0;0;289,
92,Girona,Arbúcies (),Ge-543,"pk 3,4",--Departament de Territori i Sostenibilitat (Assignació) ;,"Sobrant de carretera Ge-543 pk 3,4",Sobrant de carretera,0;0;0;0;258,
93,Girona,Arbúcies (),Ge-543,"5,56 K",--Departament de Territori i Sostenibilitat (Assignació) ;,"- CT Ge-543 5,56 K",Sobrant de carretera,0;0;0;0;0,
94,Girona,Arbúcies (),Ge-550,"5,5 K",--Departament de Territori i Sostenibilitat (Assignació) ;,Caseta peó caminaire,Habitatge,184.87;184.87;0;184.87;400,002000100DG53D0001AU
95,Barcelona,Arenys de Mar (08350),dels Tres Turons,1,--Departament d'Ensenyament (Assignació) ;,Institut Els Tres Turons,Institut,3480.92;3480.92;0;3480.92;10000,1937202DG6013N0001HB
98,Barcelona,Arenys de Munt (08358),Torrent d'en Terra,s/n,--Departament d'Ensenyament (Assignació) ;,Institut Domènec Perramon,Institut,8217;8217;0;8217;39894,1578601DG6017N0001HL
99,Barcelona,Argentona (),Mataro-argentona (c-1415),"2,2 K",--Departament de Territori i Sostenibilitat (Assignació) ;,"Parc de Maquinària de Mataró-Argentona - CT Mataro-argentona (c-1415) 2,2 K",Parc de maquinària,83.64;83.64;0;83.64;11340,08009A005000230000SZ
