Num. Ens/ Num. Inventari,area_value,area_type,units,area_id
114,1996,Sup. del terreny,m2,260
115,52.18,Sup. const. sobre rasant,m2,261
115,0,Sup. const. sota rasant,m2,262
115,52.18,Sup. const. total,m2,263
115,0,Sup. del terreny,m2,264
116,357,Sup. const. sobre rasant,m2,265
116,0,Sup. const. sota rasant,m2,266
116,357,Sup. const. total,m2,267
116,56865,Sup. del terreny,m2,268
119,2572,Sup. const. sobre rasant,m2,269
119,0,Sup. const. sota rasant,m2,270
119,2572,Sup. const. total,m2,271
119,5220.13,Sup. del terreny,m2,272
120,719.3,Sup. const. sobre rasant,m2,273
120,0,Sup. const. sota rasant,m2,274
120,719.3,Sup. const. total,m2,275
120,0,Sup. del terreny,m2,276
122,0,Sup. const. sobre rasant,m2,277
122,0,Sup. const. sota rasant,m2,278
122,0,Sup. const. total,m2,279
122,3000,Sup. del terreny,m2,280
124,5034.76,Sup. const. sobre rasant,m2,281
124,0,Sup. const. sota rasant,m2,282
124,5034.76,Sup. const. total,m2,283
124,17209.08,Sup. del terreny,m2,284
125,4004,Sup. const. sobre rasant,m2,285
125,0,Sup. const. sota rasant,m2,286
125,4004,Sup. const. total,m2,287
125,13613,Sup. del terreny,m2,288
128,1426,Sup. const. sobre rasant,m2,289
128,0,Sup. const. sota rasant,m2,290
128,1426,Sup. const. total,m2,291
128,2764,Sup. del terreny,m2,292
130,1742,Sup. const. sobre rasant,m2,293
130,0,Sup. const. sota rasant,m2,294
130,1742,Sup. const. total,m2,295
130,622,Sup. del terreny,m2,296
131,1497,Sup. const. sobre rasant,m2,297
131,0,Sup. const. sota rasant,m2,298
131,1497,Sup. const. total,m2,299
131,3894,Sup. del terreny,m2,300
132,3604,Sup. const. sobre rasant,m2,301
132,798,Sup. const. sota rasant,m2,302
132,4402,Sup. const. total,m2,303
132,11594,Sup. del terreny,m2,304
133,351,Sup. const. sobre rasant,m2,305
133,0,Sup. const. sota rasant,m2,306
133,351,Sup. const. total,m2,307
133,110.22,Sup. del terreny,m2,308
134,370,Sup. const. sobre rasant,m2,309
134,0,Sup. const. sota rasant,m2,310
134,370,Sup. const. total,m2,311
134,65.29,Sup. del terreny,m2,312
138,7668.87,Sup. const. sobre rasant,m2,313
138,192.14,Sup. const. sota rasant,m2,314
138,7861.01,Sup. const. total,m2,315
138,1680.81,Sup. del terreny,m2,316
142,8175,Sup. const. sobre rasant,m2,317
142,0,Sup. const. sota rasant,m2,318
142,8175,Sup. const. total,m2,319
142,7444,Sup. del terreny,m2,320
148,11845.21,Sup. const. sobre rasant,m2,321
148,152.7,Sup. const. sota rasant,m2,322
148,11997.91,Sup. const. total,m2,323
148,1827.05,Sup. del terreny,m2,324
155,6239.86,Sup. const. sobre rasant,m2,325
155,2918.2,Sup. const. sota rasant,m2,326
155,9158.06,Sup. const. total,m2,327
155,0,Sup. del terreny,m2,328
158,5717.6,Sup. const. sobre rasant,m2,329
158,1041.12,Sup. const. sota rasant,m2,330
158,6758.72,Sup. const. total,m2,331
158,870.19,Sup. del terreny,m2,332
159,482.95,Sup. const. sobre rasant,m2,333
159,0,Sup. const. sota rasant,m2,334
159,482.95,Sup. const. total,m2,335
159,384.11,Sup. del terreny,m2,336
160,66.49,Sup. const. sobre rasant,m2,337
160,0,Sup. const. sota rasant,m2,338
160,66.49,Sup. const. total,m2,339
160,0,Sup. del terreny,m2,340
161,3055,Sup. const. sobre rasant,m2,341
161,758,Sup. const. sota rasant,m2,342
161,3813,Sup. const. total,m2,343
161,1296,Sup. del terreny,m2,344
162,41,Sup. const. sobre rasant,m2,345
162,0,Sup. const. sota rasant,m2,346
162,41,Sup. const. total,m2,347
162,,Sup. del terreny,m2,348
165,446,Sup. const. sobre rasant,m2,349
165,0,Sup. const. sota rasant,m2,350
165,446,Sup. const. total,m2,351
165,741,Sup. del terreny,m2,352
168,3063,Sup. const. sobre rasant,m2,353
168,800,Sup. const. sota rasant,m2,354
168,3863,Sup. const. total,m2,355
168,2381,Sup. del terreny,m2,356
170,57.28,Sup. const. sobre rasant,m2,357
170,0,Sup. const. sota rasant,m2,358
170,57.28,Sup. const. total,m2,359
170,0,Sup. del terreny,m2,360
171,1153.32,Sup. const. sobre rasant,m2,361
171,655.96,Sup. const. sota rasant,m2,362
171,1809.28,Sup. const. total,m2,363
171,1140.73,Sup. del terreny,m2,364
174,7232,Sup. const. sobre rasant,m2,365
174,0,Sup. const. sota rasant,m2,366
174,7232,Sup. const. total,m2,367
174,0,Sup. del terreny,m2,368
176,5935,Sup. const. sobre rasant,m2,369
176,2013.23,Sup. const. sota rasant,m2,370
176,7948.23,Sup. const. total,m2,371
176,2234,Sup. del terreny,m2,372
178,5925,Sup. const. sobre rasant,m2,373
178,1220,Sup. const. sota rasant,m2,374
178,7145,Sup. const. total,m2,375
178,5347,Sup. del terreny,m2,376
183,58,Sup. const. sobre rasant,m2,377
183,0,Sup. const. sota rasant,m2,378
183,58,Sup. const. total,m2,379
183,0,Sup. del terreny,m2,380
184,61.88,Sup. const. sobre rasant,m2,381
184,0,Sup. const. sota rasant,m2,382
184,61.88,Sup. const. total,m2,383
184,0,Sup. del terreny,m2,384
185,675.65,Sup. const. sobre rasant,m2,385
185,0,Sup. const. sota rasant,m2,386
185,675.65,Sup. const. total,m2,387
185,625,Sup. del terreny,m2,388
191,72,Sup. const. sobre rasant,m2,389
191,0,Sup. const. sota rasant,m2,390
191,72,Sup. const. total,m2,391
191,0,Sup. del terreny,m2,392
192,942,Sup. const. sobre rasant,m2,393
192,0,Sup. const. sota rasant,m2,394
192,942,Sup. const. total,m2,395
192,1205,Sup. del terreny,m2,396
197,12088,Sup. const. sobre rasant,m2,397
197,0,Sup. const. sota rasant,m2,398
197,12088,Sup. const. total,m2,399
197,21210,Sup. del terreny,m2,400
198,5508,Sup. const. sobre rasant,m2,401
198,0,Sup. const. sota rasant,m2,402
198,5508,Sup. const. total,m2,403
198,2865.54,Sup. del terreny,m2,404
200,1323.55,Sup. const. sobre rasant,m2,405
200,0,Sup. const. sota rasant,m2,406
200,1323.55,Sup. const. total,m2,407
200,2389,Sup. del terreny,m2,408
202,1175,Sup. const. sobre rasant,m2,409
202,0,Sup. const. sota rasant,m2,410
202,1175,Sup. const. total,m2,411
202,1230,Sup. del terreny,m2,412
203,594.48,Sup. const. sobre rasant,m2,413
203,0,Sup. const. sota rasant,m2,414
203,594.48,Sup. const. total,m2,415
203,116.82,Sup. del terreny,m2,416
204,3565,Sup. const. sobre rasant,m2,417
204,0,Sup. const. sota rasant,m2,418
204,3565,Sup. const. total,m2,419
204,3532,Sup. del terreny,m2,420
205,387.11,Sup. const. sobre rasant,m2,421
205,0,Sup. const. sota rasant,m2,422
205,387.11,Sup. const. total,m2,423
205,1608.61,Sup. del terreny,m2,424
207,4604,Sup. const. sobre rasant,m2,425
207,0,Sup. const. sota rasant,m2,426
207,4604,Sup. const. total,m2,427
207,6821,Sup. del terreny,m2,428
212,177,Sup. const. sobre rasant,m2,429
212,0,Sup. const. sota rasant,m2,430
212,177,Sup. const. total,m2,431
212,0,Sup. del terreny,m2,432
213,336,Sup. const. sobre rasant,m2,433
213,0,Sup. const. sota rasant,m2,434
213,336,Sup. const. total,m2,435
213,0,Sup. del terreny,m2,436
222,6718,Sup. const. sobre rasant,m2,437
222,0,Sup. const. sota rasant,m2,438
222,6718,Sup. const. total,m2,439
222,4311,Sup. del terreny,m2,440
224,6255.2,Sup. const. sobre rasant,m2,441
224,890,Sup. const. sota rasant,m2,442
224,7145.2,Sup. const. total,m2,443
224,2354,Sup. del terreny,m2,444
226,9594.66,Sup. const. sobre rasant,m2,445
226,0,Sup. const. sota rasant,m2,446
226,9594.66,Sup. const. total,m2,447
226,0,Sup. del terreny,m2,448
230,2131.36,Sup. const. sobre rasant,m2,449
230,104.56,Sup. const. sota rasant,m2,450
230,2235.92,Sup. const. total,m2,451
230,1347.1,Sup. del terreny,m2,452
231,0,Sup. const. sobre rasant,m2,453
231,0,Sup. const. sota rasant,m2,454
231,0,Sup. const. total,m2,455
231,464.4,Sup. del terreny,m2,456
232,90.65,Sup. const. sobre rasant,m2,457
232,0,Sup. const. sota rasant,m2,458
232,90.65,Sup. const. total,m2,459
232,0,Sup. del terreny,m2,460
235,3223,Sup. const. sobre rasant,m2,461
235,0,Sup. const. sota rasant,m2,462
235,3223,Sup. const. total,m2,463
235,0,Sup. del terreny,m2,464
237,2695,Sup. const. sobre rasant,m2,465
237,380,Sup. const. sota rasant,m2,466
237,3075,Sup. const. total,m2,467
237,868.1,Sup. del terreny,m2,468
241,1254.73,Sup. const. sobre rasant,m2,469
241,343.55,Sup. const. sota rasant,m2,470
241,1598.28,Sup. const. total,m2,471
241,1191.74,Sup. del terreny,m2,472
246,6766,Sup. const. sobre rasant,m2,473
246,0,Sup. const. sota rasant,m2,474
246,6766,Sup. const. total,m2,475
246,1623.67,Sup. del terreny,m2,476
248,0,Sup. const. sobre rasant,m2,477
248,0,Sup. const. sota rasant,m2,478
248,0,Sup. const. total,m2,479
248,1623.7,Sup. del terreny,m2,480
250,543,Sup. const. sobre rasant,m2,481
250,0,Sup. const. sota rasant,m2,482
250,543,Sup. const. total,m2,483
250,0,Sup. del terreny,m2,484
252,1186,Sup. const. sobre rasant,m2,485
252,0,Sup. const. sota rasant,m2,486
252,1186,Sup. const. total,m2,487
252,1000,Sup. del terreny,m2,488
255,6596,Sup. const. sobre rasant,m2,489
255,3774,Sup. const. sota rasant,m2,490
255,10370,Sup. const. total,m2,491
255,11352,Sup. del terreny,m2,492
256,0,Sup. const. sobre rasant,m2,493
256,0,Sup. const. sota rasant,m2,494
256,0,Sup. const. total,m2,495
256,640,Sup. del terreny,m2,496
257,6140.9,Sup. const. sobre rasant,m2,497
257,1041.87,Sup. const. sota rasant,m2,498
257,7182.77,Sup. const. total,m2,499
257,75677.14,Sup. del terreny,m2,500
261,19797.6,Sup. const. sobre rasant,m2,501
261,10935,Sup. const. sota rasant,m2,502
261,30732.6,Sup. const. total,m2,503
261,42092,Sup. del terreny,m2,504
263,5828,Sup. const. sobre rasant,m2,505
263,0,Sup. const. sota rasant,m2,506
263,5828,Sup. const. total,m2,507
263,2959.29,Sup. del terreny,m2,508
267,3129,Sup. const. sobre rasant,m2,509
267,0,Sup. const. sota rasant,m2,510
267,3129,Sup. const. total,m2,511
267,2151,Sup. del terreny,m2,512
268,145.69,Sup. const. sobre rasant,m2,513
268,172.21,Sup. const. sota rasant,m2,514
268,317.9,Sup. const. total,m2,515
268,228.7,Sup. del terreny,m2,516
269,4100,Sup. const. sobre rasant,m2,517
269,0,Sup. const. sota rasant,m2,518
269,4100,Sup. const. total,m2,519
269,0,Sup. del terreny,m2,520
271,0,Sup. const. sobre rasant,m2,521
271,0,Sup. const. sota rasant,m2,522
271,0,Sup. const. total,m2,523
271,0,Sup. del terreny,m2,524
278,2985.31,Sup. const. sobre rasant,m2,525
278,543.98,Sup. const. sota rasant,m2,526
278,3529.29,Sup. const. total,m2,527
278,0,Sup. del terreny,m2,528
279,2593,Sup. const. sobre rasant,m2,529
279,115,Sup. const. sota rasant,m2,530
279,2708,Sup. const. total,m2,531
279,8837,Sup. del terreny,m2,532
282,78.85,Sup. const. sobre rasant,m2,533
282,0,Sup. const. sota rasant,m2,534
282,78.85,Sup. const. total,m2,535
282,0,Sup. del terreny,m2,536
285,5038,Sup. const. sobre rasant,m2,537
285,0,Sup. const. sota rasant,m2,538
285,5038,Sup. const. total,m2,539
285,10364,Sup. del terreny,m2,540
286,3047.66,Sup. const. sobre rasant,m2,541
286,0,Sup. const. sota rasant,m2,542
286,3047.66,Sup. const. total,m2,543
286,677.7,Sup. del terreny,m2,544
294,0,Sup. const. sobre rasant,m2,545
294,0,Sup. const. sota rasant,m2,546
294,0,Sup. const. total,m2,547
294,454,Sup. del terreny,m2,548
295,16564,Sup. const. sobre rasant,m2,549
295,0,Sup. const. sota rasant,m2,550
295,16564,Sup. const. total,m2,551
295,4008,Sup. del terreny,m2,552
296,16917.17,Sup. const. sobre rasant,m2,553
296,11406.39,Sup. const. sota rasant,m2,554
296,28323.56,Sup. const. total,m2,555
296,8542.63,Sup. del terreny,m2,556
299,2140.58,Sup. const. sobre rasant,m2,557
299,0,Sup. const. sota rasant,m2,558
299,2140.58,Sup. const. total,m2,559
299,0,Sup. del terreny,m2,560
305,549,Sup. const. sobre rasant,m2,561
305,0,Sup. const. sota rasant,m2,562
305,549,Sup. const. total,m2,563
305,209,Sup. del terreny,m2,564
306,275.2,Sup. const. sobre rasant,m2,565
306,0,Sup. const. sota rasant,m2,566
306,275.2,Sup. const. total,m2,567
306,0,Sup. del terreny,m2,568
307,0,Sup. const. sobre rasant,m2,569
307,0,Sup. const. sota rasant,m2,570
307,0,Sup. const. total,m2,571
307,0,Sup. del terreny,m2,572
308,0,Sup. const. sobre rasant,m2,573
308,0,Sup. const. sota rasant,m2,574
